WORLD RANK;COUNTRY;ZONE RANK;IOC;CURRENT POINTS;+/- RANK *
1.;USA;1.;USA;784.8;0
2.;Spain;1.;ESP;773.9;0
3.;Germany;2.;GER;759.0;0
4.;Serbia;3.;SRB;757.9;+1
5.;Australia;1.;AUS;756.3;-1
6.;Latvia;4.;LAT;750.6;+2
7.;Canada;2.;CAN;746.2;-1
8.;Argentina;3.;ARG;743.2;-1
9.;France;5.;FRA;737.1;0
10.;Lithuania;6.;LTU;713.1;0
11.;Slovenia;7.;SLO;703.6;0
12.;Brazil;4.;BRA;660.4;0
13.;Italy;8.;ITA;655.7;0
14.;Greece;9.;GRE;641.6;0
15.;Poland;10.;POL;611.7;0
16.;Puerto Rico;5.;PUR;608.4;0
17.;Montenegro;11.;MNE;607.7;0
18.;Czechia;12.;CZE;560.5;+1
19.;Dominican Republic;6.;DOM;556.3;-1
20.;Finland;13.;FIN;537.4;0
21.;New Zealand;2.;NZL;505.9;0
22.;Venezuela;7.;VEN;495.2;0
23.;Georgia;14.;GEO;453.8;0
24.;Türkiye;15.;TUR;444.7;0
25.;Mexico;8.;MEX;437.4;0
26.;Japan;3.;JPN;435.7;0
27.;Iran;4.;IRI;426.9;0
28.;Lebanon;5.;LBN;422.5;0
29.;China;6.;CHN;420.1;0
30.;Croatia;16.;CRO;419.2;0
31.;Côte d'Ivoire;1.;CIV;373.8;+2
32.;Jordan;7.;JOR;373.7;0
33.;South Sudan;2.;SSD;371.4;-2
34.;Angola;3.;ANG;369.3;0
35.;Tunisia;4.;TUN;360.8;+1
36.;Ukraine;17.;UKR;354.4;-1
37.;Philippines;8.;PHI;343.5;+1
38.;Nigeria;5.;NGR;342.1;-1
39.;Belgium;18.;BEL;338.1;0
40.;Egypt;6.;EGY;326.4;+1
41.;Bosnia and Herzegovina;19.;BIH;321.9;-1
42.;Israel;20.;ISR;308.4;0
43.;Hungary;21.;HUN;294.9;0
44.;Estonia;22.;EST;277.7;0
45.;Bulgaria;23.;BUL;270.3;0
46.;Cape Verde;7.;CPV;269.8;0
