Pos,Team,Matches,Pts,Rating
01,INDIA,71,18867,266
02,ENGLAND,48,12305,256
03,AUSTRALIA,45,11460,255
04,NEW ZEALAND,63,15994,254
05,PAKISTAN,58,14454,249
06,SOUTH AFRICA,37,9210,249
07,WEST INDIES,47,11503,245
08,SRI LANKA,47,11006,234
09,BANGLADESH,49,11103,227
10,AFGHANISTAN,43,9357,218
11,IRELAND,50,9718,194
12,ZIMBABWE,53,10222,193
13,SCOTLAND,21,3987,190
14,NAMIBIA,39,7367,189
15,NETHERLANDS,23,4277,186
16,NEPAL,39,6803,174
17,UAE,45,7797,173
18,OMAN,36,5792,161
19,USA,13,1928,148
20,PNG,30,4368,146
21,HONG KONG,42,5669,135
22,UGANDA,69,9181,133
23,CANADA,22,2883,131
24,MALAYSIA,52,6414,123
25,JERSEY,21,2515,120
26,KUWAIT,37,4407,119
27,BAHRAIN,45,5165,115
28,QATAR,25,2834,113
29,BERMUDA,14,1494,107
30,KENYA,47,4978,106
31,SAUDI ARABIA,33,3426,104
32,ITALY,17,1712,101
33,SPAIN,20,2000,100
34,TANZANIA,55,5149,94
35,GERMANY,33,3022,92
36,NIGERIA,32,2468,77
37,SINGAPORE,33,2507,76
38,GUERNSEY,16,1212,76
39,PORTUGAL,16,1167,73
40,CAYMAN ISLANDS,11,790,72
41,DENMARK,23,1622,71
42,BELGIUM,18,1237,69
43,CAMBODIA,22,1471,67
44,ISLE OF MAN,15,949,63
45,VANUATU,20,1196,60
46,AUSTRIA,29,1682,58
47,NORWAY,15,852,57
48,BOTSWANA,29,1543,53
49,FINLAND,18,953,53
50,SWITZERLAND,16,835,52
51,MALAWI,19,933,49
52,JAPAN,25,1222,49
53,CZECH REPUBLIC,24,1101,46
54,FRANCE,16,730,46
55,SWEDEN,18,759,42
56,INDONESIA,26,1092,42
57,PHILIPPINES,17,698,41
58,ROMANIA,28,1149,41
59,COOK ISLANDS,6,245,41
60,ARGENTINA,11,424,39
61,MOZAMBIQUE,24,864,36
62,MALTA,44,1535,35
63,RWANDA,70,2255,32
64,GHANA,33,1010,31
65,FIJI,10,304,30
66,THAILAND,22,620,28
67,LUXEMBOURG,30,845,28
68,SIERRA LEONE,28,766,27
69,MEXICO,7,188,27
70,CYPRUS,8,206,26
71,BAHAMAS,10,241,24
72,BELIZE,3,66,22
73,HUNGARY,19,367,19
74,PANAMA,11,206,19
75,BHUTAN,19,290,15
76,SERBIA,19,268,14
77,GIBRALTAR,30,385,13
78,BULGARIA,30,289,10
79,ESTONIA,11,60,5
80,ESWATINI,23,118,5
81,CHINA,11,53,5
82,TURKEY,7,26,4
83,MALDIVES,24,76,3
84,LESOTHO,14,39,3
85,CAMEROON,14,25,2
86,MYANMAR,7,12,2
87,GAMBIA,9,11,1
88,SEYCHELLES,7,0,0
89,SAMOA,9,0,0
90,MALI,8,0,0
91,CROATIA,10,0,0
92,GREECE,6,0,0
